Borough,Month,Value
Haringey,2013-08,1729
Haringey,2013-09,1624
Haringey,2013-10,1933
Haringey,2013-11,1913
Haringey,2013-12,1913
Haringey,2014-01,1870
Haringey,2014-02,1797
Haringey,2014-03,2019
Haringey,2014-04,1771
Haringey,2014-05,1985
Haringey,2014-06,2027
Haringey,2014-07,1964
Haringey,2014-08,1988
Haringey,2014-09,2056
Haringey,2014-10,2141
Haringey,2014-11,2046
Haringey,2014-12,1885
Haringey,2015-01,1930
Haringey,2015-02,1883
Haringey,2015-03,2151
Haringey,2015-04,2063
Haringey,2015-05,2012
Haringey,2015-06,2080
Haringey,2015-07,2326
Haringey,2015-08,2156
Haringey,2015-09,2080
Haringey,2015-10,2260
Haringey,2015-11,2330
Haringey,2015-12,2212
Haringey,2016-01,2051
Haringey,2016-02,2173
Haringey,2016-03,2292
Haringey,2016-04,2249
Haringey,2016-05,2489
Haringey,2016-06,2355
Haringey,2016-07,2560
Haringey,2016-08,2314
Haringey,2016-09,2490
Haringey,2016-10,2371
Haringey,2016-11,2382
Haringey,2016-12,2491
Islington,2011-01,2253
Islington,2011-02,2298
Islington,2011-03,2422
Islington,2011-04,2206
Islington,2011-05,2538
Islington,2011-06,2528
Islington,2011-07,2276
Islington,2011-08,2079
Islington,2011-09,2080
Islington,2011-10,2346
Islington,2011-11,2517
Islington,2011-12,1981
Islington,2012-01,2105
Islington,2012-02,1956
Islington,2012-03,2489
Islington,2012-04,2361
Islington,2012-05,2529
Islington,2012-06,2336
Islington,2012-07,2545
Islington,2012-08,2442
Islington,2012-09,2173
Islington,2012-10,2426
Islington,2012-11,2379
Islington,2012-12,2276
Islington,2013-01,2208
Islington,2013-02,2125
Islington,2013-03,2064
Islington,2013-04,1899
Islington,2013-05,2103
Islington,2013-06,1989
Islington,2013-07,2113
Islington,2013-08,1981
Islington,2013-09,2066
Islington,2013-10,2166
Islington,2013-11,2101
Islington,2013-12,1871
Islington,2014-01,2081
Islington,2014-02,1982
Islington,2014-03,2258
Islington,2014-04,2079
Islington,2014-05,2119
Islington,2014-06,1991
Islington,2014-07,2106
Islington,2014-08,1954
Islington,2014-09,2257
