Month,Year,Period,Home,Away,Result,Stadium,Borough
11,2014,9,Tottenham,Stoke,A,White Hart Lane,Haringey
11,2014,9,Arsenal,Man United,A,Emirates Stadium,Islington
11,2014,9,Chelsea,West Brom,H,Stamford Bridge,Hammersmith and Fulham
11,2014,9,Crystal Palace,Liverpool,H,Selhurst Park,Croydon
11,2014,9,QPR,Leicester,H,Loftus Road,Hammersmith and Fulham
11,2014,9,West Ham,Newcastle,H,Boleyn Ground,Newham
11,2014,9,Tottenham,Everton,H,White Hart Lane,Haringey
12,2014,9,Crystal Palace,Aston Villa,A,Selhurst Park,Croydon
12,2014,9,Arsenal,Southampton,H,Emirates Stadium,Islington
12,2014,9,Chelsea,Tottenham,H,Stamford Bridge,Hammersmith and Fulham
12,2014,9,QPR,Burnley,H,Loftus Road,Hammersmith and Fulham
12,2014,9,Tottenham,Crystal Palace,D,White Hart Lane,Haringey
12,2014,10,West Ham,Swansea,H,Boleyn Ground,Newham
12,2014,10,Arsenal,Newcastle,H,Emirates Stadium,Islington
12,2014,10,Chelsea,Hull,H,Stamford Bridge,Hammersmith and Fulham
12,2014,10,Crystal Palace,Stoke,D,Selhurst Park,Croydon
12,2014,10,QPR,West Brom,H,Loftus Road,Hammersmith and Fulham
12,2014,10,Tottenham,Burnley,H,White Hart Lane,Haringey
12,2014,10,West Ham,Leicester,H,Boleyn Ground,Newham
12,2014,10,Arsenal,QPR,H,Emirates Stadium,Islington
12,2014,10,Chelsea,West Ham,H,Stamford Bridge,Hammersmith and Fulham
12,2014,10,Crystal Palace,Southampton,A,Selhurst Park,Croydon
12,2014,10,QPR,Crystal Palace,D,Loftus Road,Hammersmith and Fulham
12,2014,10,Tottenham,Man United,D,White Hart Lane,Haringey
12,2014,10,West Ham,Arsenal,A,Boleyn Ground,Newham
1,2015,10,QPR,Swansea,D,Loftus Road,Hammersmith and Fulham
1,2015,10,Tottenham,Chelsea,H,White Hart Lane,Haringey
1,2015,10,West Ham,West Brom,D,Boleyn Ground,Newham
1,2015,11,Chelsea,Newcastle,H,Stamford Bridge,Hammersmith and Fulham
1,2015,11,Crystal Palace,Tottenham,H,Selhurst Park,Croydon
1,2015,11,Arsenal,Stoke,H,Emirates Stadium,Islington
1,2015,11,QPR,Man United,A,Loftus Road,Hammersmith and Fulham
1,2015,11,Tottenham,Sunderland,H,White Hart Lane,Haringey
1,2015,11,West Ham,Hull,H,Boleyn Ground,Newham
1,2015,11,Chelsea,Man City,D,Stamford Bridge,Hammersmith and Fulham
1,2015,11,Crystal Palace,Everton,A,Selhurst Park,Croydon
2,2015,12,Arsenal,Aston Villa,H,Emirates Stadium,Islington
2,2015,12,QPR,Southampton,A,Loftus Road,Hammersmith and Fulham
2,2015,12,Tottenham,Arsenal,H,White Hart Lane,Haringey
2,2015,12,West Ham,Man United,D,Boleyn Ground,Newham
2,2015,12,Arsenal,Leicester,H,Emirates Stadium,Islington
2,2015,12,Chelsea,Everton,H,Stamford Bridge,Hammersmith and Fulham
2,2015,12,Crystal Palace,Newcastle,D,Selhurst Park,Croydon
2,2015,12,Chelsea,Burnley,D,Stamford Bridge,Hammersmith and Fulham
2,2015,12,Crystal Palace,Arsenal,A,Selhurst Park,Croydon
2,2015,12,Tottenham,West Ham,D,White Hart Lane,Haringey
2,2015,12,West Ham,Crystal Palace,A,Boleyn Ground,Newham
3,2015,13,Arsenal,Everton,H,Emirates Stadium,Islington
