Month,Year,Period,Home,Away,Result,Stadium,Borough
11,2017,9,Chelsea,Swansea,H,Stamford Bridge,Hammersmith and Fulham
12,2017,9,Arsenal,Man United,A,Emirates Stadium,Islington
12,2017,9,Chelsea,Newcastle,H,Stamford Bridge,Hammersmith and Fulham
12,2017,9,Crystal Palace,Bournemouth,D,Selhurst Park,Croydon
12,2017,9,Tottenham,Stoke,H,Wembley Stadium,Brent
12,2017,9,West Ham,Chelsea,H,London Stadium,Newham
12,2017,10,Crystal Palace,Watford,H,Selhurst Park,Croydon
12,2017,10,Tottenham,Brighton,H,Wembley Stadium,Brent
12,2017,10,West Ham,Arsenal,D,London Stadium,Newham
12,2017,10,Arsenal,Newcastle,H,Emirates Stadium,Islington
12,2017,10,Chelsea,Southampton,H,Stamford Bridge,Hammersmith and Fulham
12,2017,10,Arsenal,Liverpool,D,Emirates Stadium,Islington
12,2017,10,West Ham,Newcastle,A,London Stadium,Newham
12,2017,10,Chelsea,Brighton,H,Stamford Bridge,Hammersmith and Fulham
12,2017,10,Tottenham,Southampton,H,Wembley Stadium,Brent
12,2017,10,Crystal Palace,Arsenal,A,Selhurst Park,Croydon
12,2017,10,Chelsea,Stoke,H,Stamford Bridge,Hammersmith and Fulham
12,2017,10,Crystal Palace,Man City,D,Selhurst Park,Croydon
1,2018,10,West Ham,West Brom,H,London Stadium,Newham
1,2018,10,Arsenal,Chelsea,D,Emirates Stadium,Islington
1,2018,10,Tottenham,West Ham,D,Wembley Stadium,Brent
1,2018,11,Chelsea,Leicester,D,Stamford Bridge,Hammersmith and Fulham
1,2018,11,Crystal Palace,Burnley,H,Selhurst Park,Croydon
1,2018,11,Tottenham,Everton,H,Wembley Stadium,Brent
1,2018,11,Arsenal,Crystal Palace,H,Emirates Stadium,Islington
1,2018,11,West Ham,Bournemouth,D,London Stadium,Newham
1,2018,11,West Ham,Crystal Palace,D,London Stadium,Newham
1,2018,11,Chelsea,Bournemouth,A,Stamford Bridge,Hammersmith and Fulham
1,2018,11,Tottenham,Man United,H,Wembley Stadium,Brent
2,2018,11,Arsenal,Everton,H,Emirates Stadium,Islington
2,2018,12,Crystal Palace,Newcastle,D,Selhurst Park,Croydon
2,2018,12,Tottenham,Arsenal,H,Wembley Stadium,Brent
2,2018,12,West Ham,Watford,H,London Stadium,Newham
2,2018,12,Chelsea,West Brom,H,Stamford Bridge,Hammersmith and Fulham
